project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
FLINK,13586906,FLINK-35896,Improvement,Minor,Resolved,4,2,0,1,1,5,1
FLINK,13586925,FLINK-35897,Bug,Major,Open,12,1,0,1,2,0,0
FLINK,13586927,FLINK-35898,Bug,Minor,Open,3,2,0,0,1,3,0
FLINK,13586937,FLINK-35899,Bug,Major,Open,0,3,0,0,2,5,0
FLINK,13586962,FLINK-35900,Bug,Blocker,Open,0,3,0,0,0,0,0
FLINK,13586964,FLINK-35901,Bug,Major,Open,0,1,0,0,2,0,0
FLINK,13586997,FLINK-35902,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13587006,FLINK-35903,Improvement,Major,Closed,0,3,0,0,1,4,1
FLINK,13587018,FLINK-35904,Sub-task,Major,Open,0,2,0,0,0,0,0
FLINK,13587118,FLINK-35905,Bug,Major,Open,2,2,0,0,2,4,0
FLINK,13587123,FLINK-35906,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13587124,FLINK-35907,Bug,Major,Open,0,1,0,0,0,0,0
FLINK,13587128,FLINK-35908,Bug,Minor,Open,15,1,0,0,0,0,0
FLINK,13587139,FLINK-35909,Bug,Major,Resolved,7,3,0,1,1,5,1
FLINK,13587142,FLINK-35910,Sub-task,Major,Resolved,35,2,0,1,1,1,1
FLINK,13587145,FLINK-35911,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13587147,FLINK-35912,Bug,Major,Resolved,8,1,0,0,1,1,1
FLINK,13587148,FLINK-35913,Bug,Major,Open,0,2,0,0,1,1,0
FLINK,13587151,FLINK-35914,Bug,Critical,Closed,78,2,0,0,1,4,1
FLINK,13587161,FLINK-35915,Sub-task,Major,Open,0,1,0,0,1,0,0
FLINK,13587169,FLINK-35916,Bug,Critical,Open,1,1,0,0,1,0,0
FLINK,13587173,FLINK-35917,Bug,Major,Open,29,2,0,0,1,0,0
FLINK,13587179,FLINK-35918,Technical Debt,Major,Open,0,1,0,0,0,0,0
FLINK,13587185,FLINK-35919,Improvement,Minor,Open,0,2,0,0,1,0,0
FLINK,13587188,FLINK-35920,Sub-task,Major,Closed,17,1,0,1,1,1,1
FLINK,13587190,FLINK-35921,Bug,Major,Open,0,1,0,0,0,0,0
FLINK,13587213,FLINK-35922,Improvement,Major,Open,1,1,0,0,1,0,0
FLINK,13587234,FLINK-35923,Sub-task,Major,Closed,34,1,0,1,1,1,1
FLINK,13587245,FLINK-35924,Improvement,Major,Closed,49,1,0,1,1,1,1
FLINK,13587267,FLINK-35925,Technical Debt,Minor,Closed,34,3,0,0,1,2,1
FLINK,13587295,FLINK-35926,Bug,Major,Open,0,3,0,0,1,0,0
FLINK,13587299,FLINK-35927,Sub-task,Major,Resolved,45,2,0,1,1,1,1
FLINK,13587300,FLINK-35928,Sub-task,Major,Closed,69,1,0,1,0,0,1
FLINK,13587320,FLINK-35929,Improvement,Major,Open,0,1,0,0,1,1,0
FLINK,13587323,FLINK-35930,Sub-task,Major,Open,0,1,0,1,1,0,0
FLINK,13587324,FLINK-35931,Sub-task,Major,Closed,33,1,0,1,1,1,1
FLINK,13587328,FLINK-35932,Sub-task,Major,Closed,33,1,0,1,1,1,1
FLINK,13587360,FLINK-35933,Improvement,Major,Closed,2,1,0,1,1,1,1
FLINK,13587375,FLINK-35934,Sub-task,Major,Closed,33,1,0,1,1,1,1
FLINK,13587377,FLINK-35935,Bug,Major,Closed,33,3,0,1,1,5,1
FLINK,13587391,FLINK-35936,Bug,Major,Open,29,1,0,0,1,0,0
